Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
22,396,[  7.         453.69581712],[0.         1.78839373],[  7.         448.42812763],[  7.         455.38108442],"[9, 11, 7, 22, 20, 23, 10, 8, 5, 1, 4, 3, 19, 17, 18, 15, 13, 16, 12, 14, 2, 6, 25, 24, 21]","(7.0, 448.4281276276091)"
23,412,[  7.         452.00719257],[0.         1.13814961],[  7.         444.81884344],[  7.        454.9016617],"[9, 11, 8, 22, 20, 23, 10, 7, 5, 1, 4, 3, 19, 17, 18, 15, 13, 16, 12, 14, 2, 6, 25, 24, 21]","(7.0, 444.81884344449537)"
24,410,[  7.         451.39383426],[0.         1.41002199],[  7.         442.44972915],[  7.         452.03258479],"[9, 11, 7, 22, 20, 23, 10, 6, 5, 1, 4, 8, 19, 15, 18, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 442.4497291533469)"
25,392,[  7.         450.48392095],[0.         1.94266969],[  7.         441.65579966],[  7.         452.03258479],"[9, 11, 6, 2, 20, 23, 10, 8, 4, 1, 5, 3, 19, 17, 18, 15, 13, 16, 12, 14, 22, 7, 25, 24, 21]","(7.0, 441.65579965844836)"
26,394,[  7.         448.75846139],[0.         1.76034267],[  7.         441.65579966],[  7.        451.5273887],"[9, 11, 6, 2, 20, 23, 10, 8, 4, 1, 5, 3, 19, 17, 18, 15, 13, 16, 12, 14, 22, 7, 25, 24, 21]","(7.0, 441.65579965844836)"
27,394,[  7.         447.44151797],[0.         1.74822809],[  7.         440.15391577],[  7.         448.42812763],"[9, 11, 7, 22, 20, 3, 10, 8, 5, 1, 4, 23, 19, 17, 18, 15, 13, 16, 12, 14, 2, 6, 25, 24, 21]","(7.0, 440.1539157729234)"
28,400,[  7.         446.19664656],[0.         2.14329044],[  7.         440.15391577],[  7.         448.42812763],"[9, 11, 7, 22, 20, 3, 10, 8, 5, 1, 4, 23, 19, 17, 18, 15, 13, 16, 12, 14, 2, 6, 25, 24, 21]","(7.0, 440.1539157729234)"
29,416,[  7.         444.11587478],[0.         1.64938935],[  7.        438.4389991],[  7.         446.55313462],"[11, 9, 6, 2, 20, 23, 10, 8, 4, 1, 5, 3, 19, 17, 18, 15, 13, 16, 12, 14, 22, 7, 25, 24, 21]","(7.0, 438.4389990980948)"
30,394,[  7.         442.74993422],[0.         1.52738661],[  7.         432.34797229],[  7.         444.81884344],"[9, 11, 10, 22, 20, 23, 7, 6, 5, 1, 4, 8, 19, 15, 18, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 432.34797228829825)"
31,404,[  7.         441.59015319],[0.         1.23025931],[  7.         432.34797229],[  7.         442.44972915],"[9, 11, 10, 22, 20, 23, 7, 6, 5, 1, 4, 8, 19, 15, 18, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 432.34797228829825)"
32,400,[  7.         440.65906998],[0.        1.4382478],[  7.         432.34797229],[  7.         441.65579966],"[9, 11, 10, 22, 20, 23, 7, 6, 5, 1, 4, 8, 19, 15, 18, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 432.34797228829825)"
33,398,[  7.         439.70706473],[0.         1.74145544],[  7.         432.34797229],[  7.         440.92132052],"[9, 11, 10, 22, 20, 23, 7, 6, 5, 1, 4, 8, 19, 15, 18, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 432.34797228829825)"
34,406,[  7.         438.80815924],[0.         2.39927848],[  7.         427.13387998],[  7.         440.34522251],"[9, 11, 10, 22, 20, 23, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 427.1338799849451)"
35,382,[  7.         437.08754205],[0.        2.8188438],[  7.         427.13387998],[  7.         440.15391577],"[9, 11, 10, 22, 20, 23, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 427.1338799849451)"
36,408,[  7.        434.5252191],[0.         2.14633084],[  7.         427.13387998],[  7.         437.37982333],"[9, 11, 10, 22, 20, 23, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 427.1338799849451)"
37,406,[  7.         432.48938269],[0.         1.28133137],[  7.         427.13387998],[  7.         435.95246562],"[9, 11, 10, 22, 20, 23, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 427.1338799849451)"
38,414,[  7.        431.8380663],[0.         1.08690993],[  7.         427.13387998],[  7.         432.34797229],"[9, 11, 10, 22, 20, 23, 7, 6, 4, 1, 5, 8, 19, 15, 18, 17, 13, 16, 12, 14, 2, 3, 25, 24, 21]","(7.0, 427.1338799849451)"
39,418,[  7.         431.17973043],[0.         1.45328536],[  7.        425.6670031],[  7.         432.34797229],"[9, 11, 10, 23, 20, 22, 7, 6, 5, 1, 4, 8, 19, 15, 18, 17, 13, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 425.6670031046282)"
40,396,[  7.         429.87171074],[0.         1.35053991],[  7.         424.82155638],[  7.         432.05811816],"[9, 11, 23, 22, 20, 8, 3, 7, 4, 1, 5, 10, 19, 18, 17, 15, 13, 16, 14, 12, 2, 6, 25, 24, 21]","(7.0, 424.82155638290084)"
