Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
98,404,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
99,396,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
100,404,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
101,382,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
102,410,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
103,394,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
104,396,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
105,394,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
106,396,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
107,400,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
108,404,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
109,382,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
110,398,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
111,394,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
112,404,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
113,406,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
114,364,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
115,418,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
116,362,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
117,398,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
118,374,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
119,398,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
120,392,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
121,412,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
122,410,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
123,376,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
124,418,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
125,400,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
126,406,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
127,392,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
128,402,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
129,408,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
130,370,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
131,398,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
132,370,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
133,394,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
134,386,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
135,390,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
136,396,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
137,402,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
138,394,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
139,400,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
140,392,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
141,386,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
142,402,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
143,386,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
144,414,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
145,386,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
146,404,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
147,396,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
148,382,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
149,404,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
150,414,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
151,420,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
152,396,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
153,388,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
154,432,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
155,390,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
156,400,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
157,386,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
158,408,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
159,390,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
160,396,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
161,422,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
162,418,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
163,400,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
164,400,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
165,400,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
166,388,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
167,408,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
168,426,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
169,396,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
170,418,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
171,388,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
172,412,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
173,402,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
174,406,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
175,390,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
176,384,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
177,394,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
178,408,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
179,394,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
180,402,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
181,418,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
182,404,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
183,408,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
184,408,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
185,426,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
186,384,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
187,402,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
188,398,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
189,414,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
190,400,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
