Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
97,422,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
98,418,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
99,386,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
100,410,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
101,406,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
102,402,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
103,394,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
104,388,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
105,404,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
106,398,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
107,414,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
108,396,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
109,394,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
110,378,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
111,378,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
112,388,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
113,400,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
114,378,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
115,396,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
116,384,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
117,388,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
118,388,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
119,420,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
120,406,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
121,402,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
122,384,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
123,422,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
124,392,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
125,386,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
126,414,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
127,392,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
128,380,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
129,402,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
130,404,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
131,390,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
132,418,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
133,412,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
134,402,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
135,394,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
136,378,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
137,386,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
138,400,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
139,386,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
140,396,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
141,400,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
142,406,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
143,406,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
144,420,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
145,396,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
146,428,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
147,388,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
148,412,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
149,412,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
150,410,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
151,400,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
152,404,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
153,406,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
154,390,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
155,410,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
156,404,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
157,390,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
158,392,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
159,400,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
160,388,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
161,414,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
162,370,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
163,394,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
164,380,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
165,410,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
166,404,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
167,406,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
168,398,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
169,408,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
170,390,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
171,404,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
172,402,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
173,404,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
174,388,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
175,420,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
176,408,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
177,384,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
178,392,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
179,402,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
180,408,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
181,396,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
182,406,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
183,402,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
184,394,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
185,380,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
186,396,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
187,382,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
188,392,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
189,394,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
