Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
22,394,[  7.         461.95214554],[ 0.         11.43166995],[  7.         427.42592618],[  7.         468.74143008],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 4, 8, 9, 5, 16, 12, 11, 21, 20, 3, 7, 10, 24, 25, 22]","(7.0, 427.4259261782928)"
23,378,[  7.         454.36583309],[ 0.         13.55721721],[  7.         427.42592618],[  7.         468.33446992],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 4, 8, 9, 5, 16, 12, 11, 21, 20, 3, 7, 10, 24, 25, 22]","(7.0, 427.4259261782928)"
24,388,[  7.         442.08210435],[0.         8.78192448],[  7.         427.42592618],[  7.         453.36148392],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 4, 8, 9, 5, 16, 12, 11, 21, 20, 3, 7, 10, 24, 25, 22]","(7.0, 427.4259261782928)"
25,410,[  7.         435.11200218],[0.         7.76370316],[  7.         425.10383321],[  7.         447.99575633],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 3, 8, 9, 10, 16, 12, 11, 21, 20, 4, 7, 5, 24, 25, 22]","(7.0, 425.1038332141763)"
26,400,[  7.         429.08817074],[0.         0.59092695],[  7.         425.10383321],[  7.         429.27088947],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 3, 8, 9, 10, 16, 12, 11, 21, 20, 4, 7, 5, 24, 25, 22]","(7.0, 425.1038332141763)"
27,396,[  7.         428.86769778],[0.      0.81779],[  7.         425.10383321],[  7.         429.27088947],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 3, 8, 9, 10, 16, 12, 11, 21, 20, 4, 7, 5, 24, 25, 22]","(7.0, 425.1038332141763)"
28,404,[  7.         428.45306902],[0.         1.01270599],[  7.         425.10383321],[  7.         429.27088947],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 3, 8, 9, 10, 16, 12, 11, 21, 20, 4, 7, 5, 24, 25, 22]","(7.0, 425.1038332141763)"
29,384,[  7.         427.64200398],[0.         0.93502197],[  7.         425.10383321],[  7.         429.27088947],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 3, 8, 9, 10, 16, 12, 11, 21, 20, 4, 7, 5, 24, 25, 22]","(7.0, 425.1038332141763)"
30,390,[  7.         427.04207328],[0.         0.82715745],[  7.         423.55044167],[  7.         427.42592618],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 4, 8, 9, 5, 16, 12, 11, 21, 20, 10, 7, 3, 24, 25, 22]","(7.0, 423.55044167488984)"
31,392,[  7.         426.55715946],[0.        1.0757221],[  7.         423.04023966],[  7.         427.42592618],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 4, 8, 9, 3, 16, 12, 11, 21, 20, 10, 7, 5, 24, 25, 22]","(7.0, 423.04023966444925)"
32,384,[  7.         425.70350998],[0.         1.00236598],[  7.         423.04023966],[  7.         427.30163143],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 4, 8, 9, 3, 16, 12, 11, 21, 20, 10, 7, 5, 24, 25, 22]","(7.0, 423.04023966444925)"
33,420,[  7.         424.97134031],[0.         0.45898399],[  7.         423.04023966],[  7.         425.10383321],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 4, 8, 9, 3, 16, 12, 11, 21, 20, 10, 7, 5, 24, 25, 22]","(7.0, 423.04023966444925)"
34,398,[  7.         424.78754934],[0.         0.68555349],[  7.         420.97156289],[  7.         425.10383321],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 3, 8, 9, 10, 16, 12, 11, 21, 20, 4, 7, 5, 24, 25, 22]","(7.0, 420.97156288528873)"
35,398,[  7.         424.42596131],[0.         0.88432582],[  7.         420.97156289],[  7.         425.10383321],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 3, 8, 9, 10, 16, 12, 11, 21, 20, 4, 7, 5, 24, 25, 22]","(7.0, 420.97156288528873)"
36,380,[  7.         423.68505616],[0.         0.80491612],[  7.         420.97156289],[  7.         425.10383321],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 3, 8, 9, 10, 16, 12, 11, 21, 20, 4, 7, 5, 24, 25, 22]","(7.0, 420.97156288528873)"
37,396,[  7.         423.08049279],[0.         0.47030722],[  7.         419.12659959],[  7.         423.55044167],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 4, 8, 9, 10, 16, 12, 11, 21, 20, 3, 7, 5, 24, 25, 22]","(7.0, 419.12659958947216)"
38,370,[  7.        422.8642317],[0.         0.64609465],[  7.         419.12659959],[  7.         423.10241985],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 4, 8, 9, 10, 16, 12, 11, 21, 20, 3, 7, 5, 24, 25, 22]","(7.0, 419.12659958947216)"
39,428,[  7.       422.654443],[0.        0.8568114],[  7.         419.12659959],[  7.         423.04023966],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 4, 8, 9, 10, 16, 12, 11, 21, 20, 3, 7, 5, 24, 25, 22]","(7.0, 419.12659958947216)"
40,406,[  7.         422.24370936],[0.         1.09284123],[  7.         419.12659959],[  7.         423.04023966],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 4, 8, 9, 10, 16, 12, 11, 21, 20, 3, 7, 5, 24, 25, 22]","(7.0, 419.12659958947216)"
41,388,[  7.         421.41622123],[0.         1.06451798],[  7.         419.12659959],[  7.         423.04023966],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 4, 8, 9, 10, 16, 12, 11, 21, 20, 3, 7, 5, 24, 25, 22]","(7.0, 419.12659958947216)"
42,404,[  7.         420.65053927],[0.         0.69944308],[  7.         419.12659959],[  7.         420.97156289],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 4, 8, 9, 10, 16, 12, 11, 21, 20, 3, 7, 5, 24, 25, 22]","(7.0, 419.12659958947216)"
43,416,[  7.         420.34955664],[0.         0.87094133],[  7.         419.12659959],[  7.         420.97156289],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 4, 8, 9, 10, 16, 12, 11, 21, 20, 3, 7, 5, 24, 25, 22]","(7.0, 419.12659958947216)"
44,398,[  7.         419.65771719],[0.         0.85797725],[  7.         416.75849388],[  7.         420.97156289],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 4, 8, 9, 10, 16, 12, 11, 21, 20, 7, 3, 5, 24, 25, 22]","(7.0, 416.7584938760856)"
45,382,[  7.         419.09689881],[0.         0.22032686],[  7.         416.75849388],[  7.         419.12659959],"[13, 15, 23, 17, 18, 19, 14, 1, 2, 6, 4, 8, 9, 10, 16, 12, 11, 21, 20, 7, 3, 5, 24, 25, 22]","(7.0, 416.7584938760856)"
